X,Y,Z,Rx,Ry,Rz,time(s),time(ms)
487.701,-1.305,232.799,-179.9185,20.0867,1.79,5.965965966,5965.965966
487.747,-1.307,232.769,-179.9166,20.0842,1.792,6.006006006,6006.006006
487.793,-1.309,232.739,-179.9147,20.0818,1.794,6.046046046,6046.046046
487.839,-1.311,232.709,-179.9127,20.0793,1.796,6.086086086,6086.086086
487.886,-1.313,232.678,-179.9108,20.0768,1.7981,6.126126126,6126.126126
487.934,-1.315,232.646,-179.9088,20.0743,1.8002,6.166166166,6166.166166
487.982,-1.317,232.614,-179.9068,20.0717,1.8023,6.206206206,6206.206206
488.031,-1.318,232.582,-179.9047,20.0691,1.8044,6.246246246,6246.246246
488.08,-1.32,232.55,-179.9027,20.0665,1.8065,6.286286286,6286.286286
488.13,-1.322,232.517,-179.9006,20.0638,1.8087,6.326326326,6326.326326
488.18,-1.324,232.484,-179.8985,20.0611,1.8109,6.366366366,6366.366366
488.231,-1.326,232.45,-179.8964,20.0584,1.8131,6.406406406,6406.406406
488.283,-1.328,232.416,-179.8942,20.0557,1.8154,6.446446446,6446.446446
488.335,-1.33,232.382,-179.8921,20.0529,1.8177,6.486486486,6486.486486
488.388,-1.333,232.347,-179.8899,20.0501,1.82,6.526526527,6526.526527
488.441,-1.335,232.312,-179.8876,20.0472,1.8223,6.566566567,6566.566567
488.495,-1.337,232.277,-179.8854,20.0444,1.8246,6.606606607,6606.606607
488.55,-1.339,232.241,-179.8831,20.0414,1.827,6.646646647,6646.646647
488.605,-1.341,232.204,-179.8808,20.0385,1.8294,6.686686687,6686.686687
488.66,-1.343,232.168,-179.8785,20.0355,1.8318,6.726726727,6726.726727
488.717,-1.346,232.131,-179.8762,20.0325,1.8343,6.766766767,6766.766767
488.774,-1.348,232.093,-179.8738,20.0295,1.8368,6.806806807,6806.806807
488.831,-1.35,232.055,-179.8714,20.0264,1.8393,6.846846847,6846.846847
488.889,-1.352,232.017,-179.869,20.0233,1.8418,6.886886887,6886.886887
488.948,-1.355,231.978,-179.8665,20.0202,1.8444,6.926926927,6926.926927
489.007,-1.357,231.939,-179.8641,20.017,1.847,6.966966967,6966.966967
489.067,-1.359,231.9,-179.8616,20.0138,1.8496,7.007007007,7007.007007
489.128,-1.362,231.86,-179.8591,20.0106,1.8522,7.047047047,7047.047047
489.189,-1.364,231.819,-179.8565,20.0073,1.8549,7.087087087,7087.087087
489.251,-1.367,231.779,-179.8539,20.004,1.8576,7.127127127,7127.127127
489.314,-1.369,231.738,-179.8514,20.0007,1.8603,7.167167167,7167.167167
489.377,-1.372,231.696,-179.8487,19.9973,1.863,7.207207207,7207.207207
489.44,-1.374,231.654,-179.8461,19.9939,1.8658,7.247247247,7247.247247
489.505,-1.377,231.612,-179.8434,19.9905,1.8686,7.287287287,7287.287287
489.57,-1.379,231.569,-179.8407,19.987,1.8714,7.327327327,7327.327327
489.635,-1.382,231.526,-179.838,19.9836,1.8743,7.367367367,7367.367367
489.702,-1.385,231.482,-179.8352,19.98,1.8772,7.407407407,7407.407407
489.768,-1.387,231.438,-179.8324,19.9765,1.8801,7.447447447,7447.447447
489.836,-1.39,231.394,-179.8296,19.9728,1.883,7.487487487,7487.487487
489.904,-1.393,231.349,-179.8268,19.9692,1.886,7.527527528,7527.527528
489.973,-1.395,231.304,-179.824,19.9655,1.889,7.567567568,7567.567568
490.042,-1.398,231.258,-179.8211,19.9618,1.892,7.607607608,7607.607608
490.112,-1.401,231.212,-179.8182,19.9581,1.8951,7.647647648,7647.647648
490.183,-1.404,231.165,-179.8152,19.9543,1.8981,7.687687688,7687.687688
490.255,-1.406,231.118,-179.8123,19.9505,1.9012,7.727727728,7727.727728
490.327,-1.409,231.071,-179.8093,19.9467,1.9044,7.767767768,7767.767768
490.399,-1.412,231.023,-179.8062,19.9428,1.9075,7.807807808,7807.807808
490.473,-1.415,230.975,-179.8032,19.9389,1.9107,7.847847848,7847.847848
490.547,-1.418,230.926,-179.8001,19.9349,1.9139,7.887887888,7887.887888
490.621,-1.421,230.877,-179.797,19.9309,1.9172,7.927927928,7927.927928
490.697,-1.424,230.827,-179.7939,19.9269,1.9205,7.967967968,7967.967968
490.773,-1.427,230.777,-179.7907,19.9229,1.9238,8.008008008,8008.008008
490.849,-1.43,230.726,-179.7876,19.9188,1.9271,8.048048048,8048.048048
490.927,-1.433,230.676,-179.7844,19.9146,1.9305,8.088088088,8088.088088
491.005,-1.436,230.624,-179.7811,19.9105,1.9339,8.128128128,8128.128128
491.084,-1.439,230.572,-179.7779,19.9063,1.9373,8.168168168,8168.168168
491.163,-1.442,230.52,-179.7746,19.902,1.9407,8.208208208,8208.208208
491.243,-1.445,230.467,-179.7712,19.8978,1.9442,8.248248248,8248.248248
491.324,-1.449,230.414,-179.7679,19.8934,1.9477,8.288288288,8288.288288
491.405,-1.452,230.361,-179.7645,19.8891,1.9512,8.328328328,8328.328328
491.487,-1.455,230.307,-179.7611,19.8847,1.9548,8.368368368,8368.368368
491.57,-1.458,230.252,-179.7577,19.8803,1.9584,8.408408408,8408.408408
491.653,-1.462,230.197,-179.7542,19.8758,1.962,8.448448448,8448.448448
491.738,-1.465,230.142,-179.7507,19.8713,1.9657,8.488488488,8488.488488
491.822,-1.468,230.086,-179.7472,19.8668,1.9694,8.528528529,8528.528529
491.908,-1.472,230.03,-179.7437,19.8622,1.9731,8.568568569,8568.568569
491.994,-1.475,229.973,-179.7401,19.8576,1.9768,8.608608609,8608.608609
492.081,-1.479,229.916,-179.7365,19.853,1.9806,8.648648649,8648.648649
492.169,-1.482,229.858,-179.7329,19.8483,1.9844,8.688688689,8688.688689
492.257,-1.486,229.8,-179.7292,19.8436,1.9882,8.728728729,8728.728729
492.346,-1.489,229.741,-179.7255,19.8388,1.9921,8.768768769,8768.768769
492.436,-1.493,229.682,-179.7218,19.8341,1.996,8.808808809,8808.808809
492.526,-1.496,229.622,-179.7181,19.8292,1.9999,8.848848849,8848.848849
492.617,-1.5,229.562,-179.7143,19.8244,2.0038,8.888888889,8888.888889
492.709,-1.503,229.502,-179.7105,19.8194,2.0078,8.928928929,8928.928929
492.802,-1.507,229.441,-179.7067,19.8145,2.0118,8.968968969,8968.968969
492.895,-1.511,229.38,-179.7028,19.8095,2.0159,9.009009009,9009.009009
492.989,-1.515,229.318,-179.6989,19.8045,2.02,9.049049049,9049.049049
493.084,-1.518,229.255,-179.695,19.7994,2.0241,9.089089089,9089.089089
493.179,-1.522,229.193,-179.6911,19.7943,2.0282,9.129129129,9129.129129
493.275,-1.526,229.129,-179.6871,19.7892,2.0323,9.169169169,9169.169169
493.372,-1.53,229.066,-179.6831,19.784,2.0365,9.209209209,9209.209209
493.47,-1.534,229.001,-179.6791,19.7788,2.0408,9.249249249,9249.249249
493.568,-1.537,228.937,-179.675,19.7736,2.045,9.289289289,9289.289289
493.667,-1.541,228.872,-179.6709,19.7683,2.0493,9.329329329,9329.329329
493.767,-1.545,228.806,-179.6668,19.7629,2.0536,9.369369369,9369.369369
493.867,-1.549,228.74,-179.6626,19.7576,2.058,9.409409409,9409.409409
493.968,-1.553,228.673,-179.6585,19.7522,2.0624,9.449449449,9449.449449
494.07,-1.557,228.606,-179.6542,19.7467,2.0668,9.489489489,9489.489489
494.173,-1.561,228.539,-179.65,19.7412,2.0712,9.52952953,9529.52953
494.276,-1.565,228.47,-179.6457,19.7357,2.0757,9.56956957,9569.56957
494.38,-1.57,228.402,-179.6414,19.7301,2.0802,9.60960961,9609.60961
494.485,-1.574,228.333,-179.6371,19.7245,2.0847,9.64964965,9649.64965
494.59,-1.578,228.263,-179.6328,19.7189,2.0893,9.68968969,9689.68969
494.697,-1.582,228.193,-179.6284,19.7132,2.0939,9.72972973,9729.72973
