I0,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
18.0,40.0,7370.0,0.0,0.0,0.0
18.0,51.0,7380.9,0.0,0.0,0.0
18.0,59.0,7388.9,0.0,0.0,0.0
18.0,72.0,7401.4,0.0,0.0,0.0
19.0,80.0,7410.2,0.0,0.0,0.0
19.0,95.0,7425.1,0.0,0.0,0.0
19.0,104.0,7433.4,0.0,0.0,0.0
19.0,115.0,7445.0,0.0,0.0,0.0
2.0,124.0,7453.6,7453.6,281.0,2.0
8.0,0.0,7750.3,0.0,0.0,0.0
8.0,2.0,7753.3,0.0,0.0,0.0
8.0,14.0,7765.0,0.0,0.0,0.0
8.0,22.0,7773.0,0.0,0.0,0.0
9.0,34.0,7785.0,0.0,0.0,0.0
9.0,43.0,7793.6,0.0,0.0,0.0
9.0,53.0,7804.0,0.0,0.0,0.0
9.0,62.0,7813.0,0.0,0.0,0.0
10.0,86.0,7836.8,0.0,0.0,0.0
10.0,102.0,7852.7,0.0,0.0,0.0
10.0,114.0,7864.5,0.0,0.0,0.0
11.0,128.0,7878.5,7878.5,270.0,1.0
17.0,0.0,8161.1,0.0,0.0,0.0
17.0,12.0,8173.2,0.0,0.0,0.0
17.0,20.0,8181.2,0.0,0.0,0.0
17.0,31.0,8192.2,0.0,0.0,0.0
18.0,39.0,8200.7,0.0,0.0,0.0
18.0,51.0,8212.3,0.0,0.0,0.0
18.0,59.0,8220.9,0.0,0.0,0.0
18.0,70.0,8231.5,0.0,0.0,0.0
19.0,80.0,8241.5,0.0,0.0,0.0
19.0,91.0,8252.4,0.0,0.0,0.0
19.0,101.0,8262.2,0.0,0.0,0.0
19.0,111.0,8272.2,0.0,0.0,0.0
19.0,121.0,8282.2,0.0,0.0,0.0
2.0,133.0,8294.2,8294.2,280.0,2.0
8.0,0.0,8584.4,0.0,0.0,0.0
8.0,11.0,8595.5,0.0,0.0,0.0
8.0,19.0,8604.1,0.0,0.0,0.0
9.0,29.0,8613.5,0.0,0.0,0.0
9.0,44.0,8628.5,0.0,0.0,0.0
9.0,49.0,8633.4,0.0,0.0,0.0
9.0,60.0,8645.0,0.0,0.0,0.0
9.0,68.0,8653.1,0.0,0.0,0.0
10.0,79.0,8664.1,0.0,0.0,0.0
10.0,93.0,8677.6,0.0,0.0,0.0
10.0,103.0,8688.4,0.0,0.0,0.0
10.0,113.0,8697.5,0.0,0.0,0.0
11.0,123.0,8708.1,8708.1,269.0,1.0
17.0,0.0,8994.1,0.0,0.0,0.0
17.0,4.0,8998.7,0.0,0.0,0.0
17.0,15.0,9009.3,0.0,0.0,0.0
17.0,23.0,9017.6,0.0,0.0,0.0
18.0,35.0,9029.8,0.0,0.0,0.0
18.0,44.0,9038.6,0.0,0.0,0.0
18.0,55.0,9049.6,0.0,0.0,0.0
18.0,63.0,9057.6,0.0,0.0,0.0
18.0,75.0,9069.3,0.0,0.0,0.0
19.0,83.0,9077.6,0.0,0.0,0.0
19.0,95.0,9089.6,0.0,0.0,0.0
19.0,103.0,9097.6,0.0,0.0,0.0
19.0,115.0,9109.6,0.0,0.0,0.0
2.0,124.0,9118.6,9118.6,285.0,2.0
8.0,0.0,9418.7,0.0,0.0,0.0
8.0,10.0,9429.2,0.0,0.0,0.0
8.0,20.0,9439.2,0.0,0.0,0.0
9.0,30.0,9449.1,0.0,0.0,0.0
9.0,39.0,9458.3,0.0,0.0,0.0
9.0,50.0,9469.1,0.0,0.0,0.0
9.0,60.0,9478.9,0.0,0.0,0.0
9.0,70.0,9489.2,0.0,0.0,0.0
10.0,80.0,9499.4,0.0,0.0,0.0
10.0,91.0,9509.7,0.0,0.0,0.0
10.0,99.0,9518.6,0.0,0.0,0.0
10.0,110.0,9529.7,0.0,0.0,0.0
11.0,120.0,9539.5,9539.5,277.0,1.0
