Xx,Xy,Xz,Yx,Yy,Yz,Zx,Zy,Zz,Px,Py,Pz
0,0.001,0.002,0.001,0.001,-0.002,0.001,0.002,0,1.756,0.171,-0.814
0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,0,1.362,0.155,-0.631
0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,0,1.369,0.182,-0.633
0,0.001,0.002,0.001,0.001,-0.002,0.001,0.002,0,1.56,0.224,-0.721
0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,0,1.366,0.225,-0.628
0,0.002,0.002,0.002,0.001,-0.002,0.001,0.002,0,1.751,0.314,-0.787
0,0.001,0.001,0.001,0.001,-0.001,0.001,0.001,0,1.355,0.266,-0.625
0,0.002,0.002,0.001,0.001,-0.002,0.001,0.002,0,1.55,0.323,-0.703
0,0.002,0.001,0.001,0.001,-0.002,0.001,0.001,0,1.35,0.298,-0.623
0,0.002,0.001,0.001,0.001,-0.002,0.001,0.001,0,1.351,0.315,-0.607
0,0.002,0.001,0.001,0.001,-0.002,0.001,0.001,0,1.351,0.342,-0.61
0,0.002,0.001,0.001,0.001,-0.002,0.001,0.001,0,1.343,0.355,-0.62
0,0.002,0.002,0.002,0.001,-0.002,0.001,0.002,0,1.536,0.438,-0.696
0,0.002,0.002,0.002,0.001,-0.002,0.001,0.002,0,1.73,0.508,-0.782
0,0.002,0.001,0.002,0.001,-0.002,0.001,0.001,0,1.334,0.417,-0.611
0,0.003,0.002,0.002,0.001,-0.002,0.001,0.002,0,1.722,0.549,-0.78
0,0.003,0.002,0.002,0.001,-0.002,0.001,0.002,0,1.718,0.574,-0.78
0,0.002,0.001,0.002,0.001,-0.002,0.001,0.001,0,1.324,0.471,-0.612
0,0.002,0.001,0.002,0.001,-0.002,0.001,0.001,0,1.328,0.48,-0.613
0,0.002,0.001,0.002,0.001,-0.002,0,0.001,0,1.321,0.497,-0.619
0,0.002,0.001,0.002,0.001,-0.002,0,0.001,0,1.319,0.521,-0.619
0,0.002,0.001,0.002,0.001,-0.002,0,0.001,0,1.324,0.535,-0.604
0,0.003,0.001,0.002,0.001,-0.003,0.001,0.002,0,1.696,0.701,-0.785
0,0.002,0.001,0.002,0.001,-0.002,0,0.001,0,1.31,0.567,-0.623
0,0.003,0.001,0.002,0.001,-0.003,0,0.002,0,1.682,0.748,-0.792
0,0.003,0.001,0.002,0.001,-0.002,0,0.001,0,1.311,0.589,-0.625
0,0.003,0.001,0.002,0.001,-0.002,0,0.001,0,1.301,0.613,-0.627
0,0.003,0.001,0.003,0.001,-0.003,0,0.002,0,1.675,0.798,-0.789
0,0.003,0.001,0.002,0,-0.002,0,0.001,0,1.296,0.641,-0.631
0,0.003,0.001,0.002,0,-0.002,0,0.001,0,1.29,0.646,-0.628
0,0.003,0.001,0.002,0,-0.002,0,0.001,0,1.297,0.66,-0.634
0,0.004,0.001,0.003,0,-0.003,0,0.002,0,1.658,0.866,-0.808
