Xx,Xy,Xz,Yx,Yy,Yz,Zx,Zy,Zz,Px,Py,Pz
0,0.001,-0.001,0.001,0,0,-0.001,0,0,-0.801,1.335,1.079
0,0.001,-0.001,0.001,0,0,-0.001,0,0,-0.785,1.349,1.088
0,0.001,-0.001,0.001,0,0,-0.001,0,0,-0.77,1.361,1.08
0,0.001,-0.001,0.001,0,0,-0.001,0,0,-0.756,1.38,1.102
0,0.001,-0.001,0.001,0,0,-0.001,0,0,-0.726,1.385,1.112
0,0.001,-0.001,0.001,0,-0.001,-0.001,0,0,-0.679,1.536,1.127
0,0.001,-0.001,0.001,0,-0.001,-0.001,0,0,-0.786,1.61,1.31
0,0.001,-0.001,0.001,0,-0.001,-0.001,0,0,-0.769,1.639,1.304
0,0.001,0,0.001,0,-0.001,-0.001,0,0,-0.645,1.447,1.173
0,0.001,0,0.001,0,-0.001,-0.001,0,0,-0.617,1.465,1.185
0,0.002,-0.001,0.001,0.001,-0.001,-0.001,0.001,0,-0.776,1.876,1.522
0,0.001,0,0.001,0,-0.001,-0.001,0,0,-0.586,1.488,1.201
0,0.001,0,0.001,0,-0.001,-0.001,0,0,-0.562,1.492,1.201
0,0.001,0,0.001,0,-0.001,-0.001,0.001,0,-0.541,1.503,1.223
0,0.001,0,0.001,0,-0.001,-0.001,0.001,0,-0.514,1.517,1.234
0,0.001,0,0.001,0,-0.001,-0.001,0.001,0,-0.496,1.523,1.247
0,0.001,0,0.001,0,-0.001,-0.001,0.001,0,-0.475,1.533,1.257
0,0.001,0,0.001,0,-0.001,-0.001,0.001,0,-0.451,1.552,1.263
0,0.001,0,0.001,0,-0.001,-0.001,0.001,0,-0.424,1.554,1.283
0,0.001,0,0.001,0,-0.001,-0.001,0.001,0,-0.402,1.562,1.283
0,0.001,0,0.001,0,-0.001,-0.001,0.001,0,-0.372,1.574,1.316
0,0.001,0,0.001,0,-0.001,-0.001,0.001,0,-0.346,1.582,1.328
0,0.001,0,0.001,0,-0.001,-0.001,0.001,0,-0.327,1.587,1.329
0,0.001,0,0.001,0,-0.001,-0.001,0.001,0,-0.3,1.596,1.342
0,0.001,0,0.001,0,-0.001,0,0.001,0,-0.278,1.602,1.342
0,0.001,0,0.001,0,-0.001,0,0.001,0,-0.252,1.608,1.363
0,0.001,0,0.001,0,-0.001,0,0.001,0,-0.226,1.622,1.378
0,0.001,0,0.001,0,-0.001,0,0.001,0,-0.202,1.621,1.374
0,0.002,0,0.002,0.001,-0.001,0,0.001,0,-0.222,2.079,1.79
0,0.002,0,0.002,0,-0.001,0,0.001,0,-0.17,1.859,1.599
0,0.001,0,0.001,0,-0.001,0,0.001,0,-0.119,1.644,1.412
0,0.001,0,0.001,0,-0.001,0,0.001,0,-0.089,1.64,1.432
0,0.002,0,0.002,0.001,-0.001,0,0.001,0,-0.087,2.124,1.839
0,0.001,0,0.001,0,-0.001,0,0.001,0,-0.036,1.647,1.443
0,0.001,0,0.001,0,-0.001,0,0.001,0,-0.007,1.65,1.454
0,0.001,0,0.001,0,-0.001,0,0.001,0,0.022,1.659,1.477
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
