Xx,Xy,Xz,Yx,Yy,Yz,Zx,Zy,Zz,Px,Py,Pz
0.0,-0.0,0.002,0.0,0.0,-0.0,0.002,0.001,-0.0,1.503,-0.466,-0.886
0.0,-0.0,0.002,0.0,0.0,-0.0,0.002,0.001,-0.0,1.517,-0.444,-0.884
0.0,-0.0,0.002,0.0,0.0,-0.0,0.002,0.001,0.0,1.52,-0.409,-0.879
0.0,-0.0,0.002,0.0,0.0,-0.0,0.001,0.001,0.0,1.327,-0.335,-0.758
0.0,0.0,0.002,0.0,0.0,-0.0,0.001,0.001,-0.0,1.333,-0.313,-0.757
0.0,0.0,0.002,0.0,0.0,-0.001,0.001,0.001,0.0,1.34,-0.282,-0.746
0.0,0.0,0.002,0.0,0.0,-0.001,0.001,0.001,-0.0,1.345,-0.263,-0.724
0.0,0.0,0.002,0.0,0.0,-0.001,0.001,0.001,0.0,1.347,-0.233,-0.722
0.0,0.0,0.002,0.0,0.0,-0.001,0.001,0.001,0.0,1.358,-0.222,-0.722
0.0,0.0,0.002,0.001,0.0,-0.001,0.001,0.001,0.0,1.351,-0.191,-0.718
0.0,0.0,0.002,0.001,0.0,-0.001,0.001,0.001,-0.0,1.355,-0.163,-0.701
0.0,0.0,0.002,0.001,0.001,-0.001,0.002,0.002,0.0,1.755,-0.184,-0.891
0.0,0.0,0.002,0.001,0.001,-0.001,0.001,0.001,-0.0,1.562,-0.144,-0.779
0.0,0.0,0.002,0.001,0.0,-0.001,0.001,0.001,-0.0,1.36,-0.093,-0.682
0.0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,0.0,1.362,-0.076,-0.686
0.0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,-0.0,1.362,-0.055,-0.674
0.0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,-0.0,1.565,-0.036,-0.76
0.0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,0.0,1.372,-0.007,-0.66
0.0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,-0.0,1.363,0.0,-0.659
0.0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,-0.0,1.364,0.038,-0.652
0.0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,-0.0,1.367,0.059,-0.655
0.0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,-0.0,1.37,0.072,-0.644
0.0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,-0.0,1.371,0.101,-0.638
-0.0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,-0.0,1.363,0.122,-0.637
-0.0,0.001,0.002,0.001,0.001,-0.001,0.001,0.002,-0.0,1.563,0.161,-0.731
-0.0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,-0.0,1.361,0.163,-0.63
-0.0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,-0.0,1.374,0.18,-0.624
-0.0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,-0.0,1.36,0.195,-0.634
-0.0,0.002,0.002,0.001,0.001,-0.002,0.001,0.002,-0.0,1.749,0.275,-0.8
-0.0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,-0.0,1.355,0.242,-0.621
-0.0,0.001,0.001,0.001,0.001,-0.001,0.001,0.001,-0.0,1.354,0.255,-0.627
-0.0,0.002,0.002,0.002,0.001,-0.002,0.001,0.002,-0.0,1.946,0.395,-0.869
-0.0,0.002,0.002,0.002,0.001,-0.002,0.001,0.002,-0.0,1.942,0.418,-0.868
-0.0,0.002,0.001,0.001,0.001,-0.002,0.001,0.001,-0.0,1.348,0.315,-0.622
-0.0,0.002,0.001,0.001,0.001,-0.002,0.001,0.001,-0.0,1.347,0.341,-0.619
-0.0,0.002,0.002,0.002,0.001,-0.002,0.001,0.002,-0.0,1.538,0.409,-0.699
-0.0,0.002,0.001,0.001,0.001,-0.002,0.001,0.001,-0.0,1.348,0.369,-0.618
-0.0,0.002,0.001,0.001,0.001,-0.002,0.001,0.001,-0.0,1.341,0.393,-0.603
-0.0,0.002,0.001,0.002,0.001,-0.002,0.001,0.001,-0.0,1.335,0.41,-0.611
-0.0,0.002,0.001,0.002,0.001,-0.002,0.001,0.001,-0.0,1.334,0.416,-0.619
-0.0,0.002,0.001,0.002,0.001,-0.002,0.001,0.002,-0.0,1.518,0.511,-0.696
-0.0,0.002,0.001,0.002,0.001,-0.002,0.001,0.001,-0.0,1.335,0.455,-0.618
-0.0,0.003,0.001,0.002,0.001,-0.002,0.001,0.002,-0.0,1.71,0.609,-0.774
-0.0,0.002,0.001,0.002,0.001,-0.002,0.0,0.001,-0.0,1.327,0.497,-0.609
-0.0,0.002,0.001,0.002,0.001,-0.002,0.0,0.001,-0.0,1.327,0.513,-0.617
-0.0,0.003,0.001,0.002,0.001,-0.002,0.0,0.002,-0.0,1.501,0.598,-0.702
-0.0,0.002,0.001,0.002,0.001,-0.002,0.0,0.001,-0.0,1.314,0.545,-0.621
-0.0,0.002,0.001,0.002,0.001,-0.002,0.0,0.001,-0.0,1.308,0.553,-0.617
-0.0,0.002,0.001,0.002,0.001,-0.002,0.0,0.001,-0.0,1.312,0.576,-0.615
-0.0,0.003,0.001,0.002,0.001,-0.002,0.0,0.001,-0.0,1.305,0.591,-0.624
-0.0,0.003,0.001,0.002,0.001,-0.002,0.0,0.001,-0.0,1.309,0.606,-0.625
-0.0,0.004,0.001,0.003,0.001,-0.004,0.0,0.002,-0.0,2.236,1.057,-1.052
-0.0,0.003,0.001,0.002,0.0,-0.002,0.0,0.001,-0.0,1.296,0.631,-0.631
-0.0,0.003,0.001,0.002,0.0,-0.002,0.0,0.001,-0.0,1.294,0.652,-0.633
-0.0,0.003,0.001,0.002,0.0,-0.002,0.0,0.001,-0.0,1.294,0.657,-0.626
-0.0,0.004,0.001,0.003,0.001,-0.003,0.0,0.002,-0.0,1.851,0.958,-0.887
-0.0,0.003,0.0,0.003,0.0,-0.003,0.0,0.002,-0.0,1.472,0.782,-0.722
-0.0,0.003,0.0,0.002,0.0,-0.002,0.0,0.001,0.0,1.284,0.703,-0.641
-0.0,0.003,0.0,0.002,0.0,-0.002,0.0,0.001,0.0,1.279,0.707,-0.639
-0.0,0.004,0.0,0.003,0.0,-0.003,0.0,0.002,0.0,1.652,0.932,-0.815
-0.0,0.003,0.0,0.002,0.0,-0.002,-0.0,0.001,0.0,1.28,0.738,-0.639
-0.0,0.003,0.0,0.002,0.0,-0.002,-0.0,0.001,0.0,1.283,0.749,-0.649
