Xx,Yx,Zx,Xy,Yy,Zy,Zx,Zy,Zz,Px,Py,Pz
0,0,0,0,0,0,0,0,0,-4.13,4.49,6.28
0,0,0,0,0,0,0,0,0,-3.86,3.39,5.35
0,0,0,0,0,0,0,0,0,-3.83,3.41,5.35
0,0,0,0,0,0,0,0,0,-3.8,3.43,5.36
0,0,0,0,0,0,0,0,0,-3.77,3.45,5.38
0,0,0,0,0,0,0,0,0,-3.76,3.7,5.58
0,0,0,0,0,0,0,0,0,-3.72,3.7,5.6
0,0,0,0,0,0,0,0,0,-3.67,3.5,5.42
0,0,0,0,0,0,0,0,0,-3.64,3.51,5.41
0,0,0,0,0,0,0,0,0,-3.6,3.53,5.43
0,0,0,0,0,0,0,0,0,-3.57,3.55,5.45
0,0,0,0,0,0,0,0,0,-3.53,3.56,5.47
0,0,0,0,0,0,0,0,0,-3.5,3.81,5.67
0,0,0,0,0,0,0,0,0,-3.47,3.59,5.48
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
0,0,0,0,0,0,0,0,0,-3.48,1.97,4.02
